ind;freq;popup;lat;lng
243;102;герцеговина;44.3053476;17.5961467
244;99;таганрогский;46.668663;40.691051
245;99;пятигорск;44.0410835;43.0666626
246;98;севилья;37.3886303;-5.9953171
247;98;китай-город;55.75451515;37.6251121308295
248;97;новочеркасск;47.41066;40.101986
249;97;дамаск;33.5130695;36.3095814
250;97;витебск;55.1930197;30.2070437
251;96;острог;50.329021;26.5203627
252;96;бастилия;57.1398059;65.5545804
253;95;гребенка;50.118412;32.4336376
254;94;крестовский;56.1137007;160.5088485
255;94;кенигсберг;60.0557019;30.36127
256;94;берн;46.9482713;7.4514512
257;93;липецк;52.6041877;39.5936899
258;93;дмитров;56.3450695;37.5200723
259;92;могилев;48.86272;34.48402
260;91;серпухов;54.9155247;37.4195533
261;91;двина;63.0413173;42.5128561
262;89;бухарест;44.4361414;26.1027202
263;88;замоскворечье;55.7356637;37.6348669
264;87;эльба;51.867922;12.5663365
265;87;вильно;54.6870458;25.2829111
266;87;арарат;-37.2843443;142.930621
267;86;краков;50.0619474;19.9368564
268;85;арзамас;55.3989463;43.8408129
269;83;ганновер;52.3744779;9.7385532
270;83;вятка;58.6035257;49.6639029
271;82;темза;52.9611718;88.0617993
272;82;висла;52.3807439;20.0466979
273;81;тифлис;41.6935247;44.8015019
274;80;иртыш;53.009838;76.2177198
275;79;гатчина;59.5706273;30.1305083
276;78;сена;35.000074;104.999927
277;78;гибралтар;36.1451465;-5.3484848
278;78;бородинский;43.2158037;131.6669754
279;77;устюг;60.7612852;46.3014666
280;77;луга;15.2401304;-15.3441834
281;76;остер;50.9508278;30.8782419
282;76;басманный;55.7672809;37.6697732
283;75;евфрат;34.4807826;41.5979207
284;74;азов;47.1065585;39.4176939
285;73;манила;14.5906216;120.9799696
286;69;босфор;41.1200986;29.0808591
287;68;сретенка;53.1234946;42.0291764
288;68;родос;36.4379874;28.2233083
289;67;днестр;48.5595791;27.0755471
290;66;самарканд;39.6436914;66.9620061576828
291;66;саксония;50.9295798;13.4585052
292;65;варна;43.2166104;27.9017131
293;65;базель;47.5581077;7.5878261
294;62;звенигород;55.7293613;36.8585382
295;62;гомель;52.4238936;31.0131698
296;61;эллада;38.9953683;21.9877132
297;61;вязьма;55.2133861;34.2943756799081
298;61;бухара;39.7675529;64.4231326
299;60;муром;55.5738;42.0447
300;60;запорожье;47.8507859;35.1182867
301;58;чернигов;51.494099;31.294332
302;58;царскосельский;59.7482547;30.3684898126647
303;58;тоскана;43.4586541;11.1389204
304;58;колизей;41.8902614;12.4930871035955
305;55;чудово;59.1246973;31.6727258
306;55;цейлон;54.7767618;32.049626
307;54;житомир;50.2598298;28.6692345
308;54;ватерлоо;51.5028379;-0.112801
309;53;симбирский;52.25906;56.5588
310;51;херсон;46.65086815;32.6023027991877
311;51;клязьма;55.9638429;37.3673833
312;50;полоцкий;55.50371035;29.0290862322405
313;50;калькутта;22.5677459;88.3476023
314;50;валка;57.7763174;26.0170113
315;49;стрельна;60.4527198;45.8155015
316;49;можайск;55.5016383;36.0334703
317;49;верона;45.4384958;10.9924122
318;49;алушта;44.677112;34.4095393
319;48;динь;31.0466197;115.4962668
320;47;турку;60.4517531;22.2670522
321;47;имп;-5.5314365;-47.4561953
322;47;везувий;40.8227327;14.4283448
323;46;ходынка;55.7965831;37.5129703
324;46;полоцк;55.4854656;28.7682339
325;45;симбирск;54.3107593;48.3642771
326;44;тамань;45.2158646;36.7191326
327;44;дербент;42.0576987;48.2938068
328;43;баден;47.4736827;8.3086822
329;42;бобров;51.0967999;40.0307798
330;40;што;46.7701826;23.5875462
331;40;спарта;43.9441328;-90.8129118
332;40;семипалатинск;50.405029;80.249176
333;40;орша;54.5119008;30.4254486
334;40;бомбей;47.862482;35.0263662
335;39;неман;55.0359656;22.0293578
336;39;аша;54.989914;57.285633
337;38;триест;45.6500335;13.7706559
338;38;пиза;43.7159395;10.4018624
339;36;буг;51.5351833;23.5646188
340;35;гомера;28.119242;-17.225640691221
341;34;ворожба;51.175;34.23168
342;33;онега;61.9028533;35.6060959612797
343;33;енисейск;58.4532212;92.1748169
344;33;гринвич;51.4820845;-0.0045417
345;32;перемышль;54.264301;36.162399
346;30;волынь;53.7637594;34.151787
347;29;шлиссельбург;59.940431;31.0336955
348;29;ильинка;48.01257;37.3064
349;29;бердичев;49.8940442;28.5814912
350;28;миргород;49.9663756;33.6096834916723
351;28;инд;40.3270127;-86.1746933
352;28;бух;52.6366724;13.4999292
353;27;потсдам;52.4009309;13.0591397
354;26;уральск;51.222382;51.373421
355;26;тегеранский;0;0
356;26;пря;46.9588983;6.4484296
357;26;бобруйск;53.1449683;29.2281209
358;25;арно;7.081172;171.6562687
359;24;нахичевань;39.2067236;45.408394
360;23;палермо;38.11127;13.3534422
361;23;бахчисарай;44.7522963;33.8534782
362;22;геттинген;0;0
363;22;веймар;50.9802813;11.3290855
364;21;царицын;48.74369805;44.3980905176772
365;21;покровское;47.9808528;36.2333808
366;21;неча;12.5497669;99.9622645
367;21;коринф;37.9386936;22.9280447
368;19;знаменка;48.71699295;32.6747877095825
369;18;пречистенский;55.7446734;37.6019536
370;17;хива;41.3776893;60.3620006
371;17;очаков;46.6153998;31.5457415
372;16;егда;0;0
373;15;друж;56.18594115;52.4919586483411
374;15;гавр;49.4938975;0.1079732
375;11;умань;21.0000287;57.0036901
376;11;люблин;51.250559;22.5701022
